Category,No.,Name,Level,Current PPH,Price-to-upgrade,Added PPH,Cumulative Cost,NPV,Efficiency,Combined Metric
PR&Team,9,Influencers,11,4260,107030,568,317377,228876090,-2.275,1215067.6
PR&Team,11,IT team,11,3780,85620,505,253890,203124311,-2.229,1198841.9
Specials,10,Short Squeeze,11,15780,1498456,2100,4443396,843438863,-2.853,1183187.6
Markets,14,Margin trading x50,14,24800,3322971,2830,9934764,1321637179,-3.07,1124895.7
Markets,18,Prediction markets,13,6940,279721,831,834851,372440698,-2.527,1106769.4
Legal,5,Anti money loundering,11,4420,128430,589,380835,237403457,-2.339,1087644.7
PR&Team,17,UX and UI team,12,3120,61350,394,182631,167694411,-2.192,1077751.4
Specials,3,Web3 academy launch,11,23670,4270940,3150,12664690,1257135443,-3.132,927645.6
PR&Team,23,Ananymous transaction ban,14,6670,299060,774,894106,357828974,-2.587,926137.6
Specials,6,Bitcoin Pizza Day,9,1190,13930,184,40702,63998793,-1.879,845613.3
PR&Team,5,HamsterTube,10,1240,14300,177,42156,66688289,-1.907,826132.2
PR&Team,7,TikTok,10,1380,17880,197,52709,74209853,-1.958,817450.7
Legal,2,KYB,8,616,4270,103,12310,33140487,-1.618,798654.4
PR&Team,19,QA team,12,3390,102680,428,305665,182063177,-2.38,758965.6
PR&Team,18,Security team,13,4020,159840,482,477056,215745263,-2.521,650041.8
PR&Team,28,Compliance officer,4,532,6930,157,16683,28612035,-1.645,647960.8
PR&Team,10,CEO,10,1380,23840,197,70279,74186323,-2.083,612807.2
PR&Team,21,Risk management team,13,5330,319680,639,954112,285620961,-2.699,571202.5
PR&Team,24,Blocking suspicious accounts,12,2860,100910,360,300396,153542220,-2.448,547303.0
Markets,9,Meme coins,9,1310,27870,202,81435,70403289,-2.14,510026.7
Legal,3,Legal opinion,7,520,5510,96,15562,27968660,-1.759,487160.0
PR&Team,3,X,11,1260,23540,168,69803,67727930,-2.146,483913.6
Specials,1,Hamster Kombat merch,3,321,4650,123,9816,17263810,-1.578,456180.4
PR&Team,14,Product team,11,1570,42810,210,126945,84337705,-2.309,414020.4
PR&Team,2,HamsterBook,11,1100,21400,147,63457,59124191,-2.163,406223.7
PR&Team,13,Partenrship program,11,1100,21400,147,63457,59124191,-2.163,406223.7
Markets,6,GameFi tokens,11,1100,21407,147,63478,59124163,-2.163,406223.5
PR&Team,1,Support team,10,967,17880,138,52709,51979547,-2.112,401635.9
PR&Team,8,Coindesk,10,1100,23840,157,70279,59114929,-2.181,389670.2
Markets,5,Top 10 cmc pairs,10,1100,23840,157,70279,59114929,-2.181,389670.2
Legal,6,Lic. UAE,15,14070,3626815,1540,10855597,742855146,-3.372,315430.8
PR&Team,6,HamsterGram,10,691,11920,98,35139,37146988,-2.085,305438.4
PR&Team,20,Antihacking shield,10,1520,57680,216,170039,81588420,-2.427,305230.9
PR&Team,4,Cointelegraph,10,553,8340,79,24586,29733077,-2.024,281345.4
Markets,3,BTC pairs,11,632,10700,84,31728,33975861,-2.105,266790.6
Markets,4,ETH pairs,11,632,12844,84,38086,33967359,-2.184,222362.6
Markets,8,SocialFi tokens,11,789,21407,105,63478,42384150,-2.309,208067.1
PR&Team,22,Security Audition,10,1380,71520,197,210839,73998083,-2.56,203807.6
PR&Team,12,Marketing,11,1100,42810,147,126945,59039293,-2.464,202834.2
Legal,4,SEC transparency,10,829,28600,118,84312,44509180,-2.384,183844.1
PR&Team,16,Two factor authentication,14,2820,332290,322,993455,150464725,-3.014,145691.7
Markets,7,Defi2.0 tokens,11,632,21407,84,63478,33933404,-2.406,133237.8
PR&Team,15,BisDev team,13,1000,79920,120,238528,53507959,-2.823,80430.1
Legal,1,KYC,15,251,72530,28,217093,13220805,-3.413,5108.1
Markets,20,DAO,0,0,0,0,0,0,,
